,median_mz(Da),IQR_mz(ppm),Q1_RT(s),median_RT(s),Q3_RT(s),N_samples,N_ms2-spectra,Q1_silhouette,median_silhouette,Q3_silhouette,Q1_intramodule_cosine,median_intramodule_cosine,Q3_intramodule_cosine,min_mz,max_mz,min_RT(s),max_RT(s),min_silhouette,max_silhouette,min_intramodule_cosine,max_intramodule_cosine,feat_id,11011,11012,11013,11111,11121,11131,11211,11212,11213,11221,11222,11223,11231,11232,11233,11311,11312,11313,12011,12012,12013,12111,12112,12113,12211,12212,12213,12221,12222,12223,12231,12232,12233,12311,12312,12313,13011,13012,13013,13111,13112,13113,13211,13212,13213,13221,13222,13223,13231,13232,13233,13311,13312,13313,21111_noSPE,21121_noSPE,21131_noSPE,21211_noSPE,21221_noSPE,21231_noSPE
3069,999.84130859375,0.8546278100437436,313.36240913964,335.74768712616,358.62435414888,51.0,129.0,0.994497537612915,0.9955129623413086,0.99592387676239,0.9939083456993104,0.996756911277771,0.997829020023346,999.8400756835938,999.8422607421876,264.199509645468,382.34988606072,0.991524612903595,0.996267557144165,0.9896478056907654,0.9984256029129028,3539.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3068,999.34228515625,0.8245169069520595,290.3610357294,317.39295413592,349.37945022678,59.0,267.0,0.9941582381725312,0.9953171610832214,0.9958541989326476,0.993510365486145,0.9961238503456116,0.9975391030311584,999.3412658691408,999.3434692382814,263.53767678834,376.996059204102,0.9919803619384766,0.9961851000785829,0.9898247122764589,0.9982839822769164,3538.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3067,998.843170166016,0.7943759897764952,291.761074269765,318.73460915184,350.671974802965,60.0,274.0,0.9936862289905548,0.9949578046798706,0.9955447614192964,0.9931227564811708,0.9963212609291076,0.9976527094841005,998.842102050781,998.8443206787108,263.872113061881,379.775696588517,0.9896875083446502,0.9957780063152312,0.9868398308753968,0.998327374458313,3537.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3065,998.344555786263,1.0278007882611049,306.9961557636,344.92419698334,371.68612756824,34.0,43.0,0.9785435768145578,0.9824399935796948,0.9846229981384946,0.994059920310974,0.9962683320045472,0.9975134134292604,998.3435874843244,998.346208245333,268.4912910471,382.227695585268,0.9737536829301306,0.9864544365887404,0.9913431406021118,0.9982247352600098,3535.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
3066,998.34423828125,0.9781821365356408,285.45578219988,299.69565322494,315.54496123884,45.0,89.0,0.9708738214447912,0.9753745387680754,0.9776135069474864,0.9938032627105712,0.9963335990905762,0.9975331425666808,998.3432250976564,998.3456909179688,268.247653127664,357.29321849442,0.9572610141351098,0.9790068629314748,0.986603617668152,0.9981765151023864,3536.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
3063,997.845613781767,0.8948613067620108,318.49074866868,343.9342185507,364.1727258810751,58.0,248.0,0.978369670563451,0.9828372382038264,0.9844909049412348,0.9942088723182678,0.9965380430221558,0.997624397277832,997.8444564963544,997.8469868145826,273.631754220498,379.955340612876,0.9678356268355144,0.9855445240017328,0.9904097318649292,0.9982326626777648,3533.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3064,997.845606871337,1.0398378765081937,306.55701973536,335.59961536026,360.26990916822,55.0,147.0,0.8573848947076023,0.9159788656864356,0.9244090122773554,0.9520822167396544,0.9923980236053468,0.99638569355011,997.8441993210148,997.847271728516,275.224680376986,382.229934931758,0.8474202618196705,0.9278414616176656,0.9451372623443604,0.9975194334983826,3534.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3062,997.346984863281,1.2910160824164976,302.925774122265,333.59531965353,359.15828111268,60.0,878.0,0.8412191867828369,0.9044959247112274,0.9080626666545868,0.7660617828369141,0.94247305393219,0.9924606680870056,997.3454958048349,997.3488300794304,273.80667551849405,379.23346399161903,0.8326760590076446,0.9111525774002076,0.748119592666626,0.9970290660858154,3532.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3061,996.848205566406,1.6531596383232834,312.47770615911,338.65632763005,361.775155867095,60.0,914.0,0.9834836423397064,0.985228568315506,0.9858296811580658,0.9894391298294068,0.993785321712494,0.995568871498108,996.84619140625,996.850402832031,280.000019432049,379.470090497472,0.9772642970085144,0.9862202525138856,0.9391236901283264,0.996562361717224,3531.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3060,996.349304199219,2.879163293322067,284.24008538817,343.38410558796,364.295821572315,60.0,280.0,0.986089050769806,0.9870497286319732,0.9877164661884308,0.9828020334243774,0.9862244129180908,0.9928557276725768,996.3456390380862,996.352111816406,278.866783929849,380.768510974398,0.9835855484008788,0.988327258825302,0.9793508052825928,0.9975744485855104,3530.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
